"","field_id","year","month","centroid_lat","centroid_long","area_hectares","sprays","mildew_incidence","initial_strain","susceptibility_to_r6_strains","susceptibility_to_non_r6_strains","plant_type","date"
"17",5,2014,"April",45.0412,-122.7753,2.9542078,0,0,"non-V6",1,1,"non-R6",2014-04-01
"18",5,2014,"May",45.0412,-122.7753,2.9542078,1,0,"non-V6",1,1,"non-R6",2014-05-01
"19",5,2014,"June",45.0412,-122.7753,2.9542078,2,0,"non-V6",1,1,"non-R6",2014-06-01
"20",5,2014,"July",45.0412,-122.7753,2.9542078,1,0,"non-V6",1,1,"non-R6",2014-07-01
"21",6,2014,"April",45.0403,-122.7818,7.7699712,0,0,"non-V6",1,1,"non-R6",2014-04-01
"22",6,2014,"May",45.0403,-122.7818,7.7699712,1,0,"non-V6",1,1,"non-R6",2014-05-01
"23",6,2014,"June",45.0403,-122.7818,7.7699712,2,0,"non-V6",1,1,"non-R6",2014-06-01
"24",6,2014,"July",45.0403,-122.7818,7.7699712,1,0,"non-V6",1,1,"non-R6",2014-07-01
"25",7,2014,"April",45.0377,-122.7771,2.0638986,0,0,"non-V6",1,1,"non-R6",2014-04-01
"26",7,2014,"May",45.0377,-122.7771,2.0638986,1,0,"non-V6",1,1,"non-R6",2014-05-01
"27",7,2014,"June",45.0377,-122.7771,2.0638986,2,0.01,"non-V6",1,1,"non-R6",2014-06-01
"28",7,2014,"July",45.0377,-122.7771,2.0638986,1,0.02,"non-V6",1,1,"non-R6",2014-07-01
"29",9,2014,"April",45.0775,-122.7656,5.6251354,0,0,"non-V6",1,1,"non-R6",2014-04-01
"30",9,2014,"May",45.0775,-122.7656,5.6251354,1,0,"non-V6",1,1,"non-R6",2014-05-01
"31",9,2014,"June",45.0775,-122.7656,5.6251354,2,0,"non-V6",1,1,"non-R6",2014-06-01
"32",9,2014,"July",45.0775,-122.7656,5.6251354,1,0.16,"non-V6",1,1,"non-R6",2014-07-01
"33",10,2014,"April",45.0839,-122.7614,3.844517,0,0,"non-V6",1,1,"non-R6",2014-04-01
"34",10,2014,"May",45.0839,-122.7614,3.844517,1,0.01,"non-V6",1,1,"non-R6",2014-05-01
"35",10,2014,"June",45.0839,-122.7614,3.844517,2,0.1,"non-V6",1,1,"non-R6",2014-06-01
"36",10,2014,"July",45.0839,-122.7614,3.844517,1,0.07,"non-V6",1,1,"non-R6",2014-07-01
"37",11,2014,"April",45.079,-122.7666,2.02343,0,0,"non-V6",1,1,"non-R6",2014-04-01
"38",11,2014,"May",45.079,-122.7666,2.02343,1,0.13,"non-V6",1,1,"non-R6",2014-05-01
"39",11,2014,"June",45.079,-122.7666,2.02343,2,0.09,"non-V6",1,1,"non-R6",2014-06-01
"40",11,2014,"July",45.079,-122.7666,2.02343,1,0.02,"non-V6",1,1,"non-R6",2014-07-01
"41",12,2014,"April",45.0842,-122.7656,7.0010678,0,0.01,"non-V6",1,1,"non-R6",2014-04-01
"42",12,2014,"May",45.0842,-122.7656,7.0010678,1,0,"non-V6",1,1,"non-R6",2014-05-01
"43",12,2014,"June",45.0842,-122.7656,7.0010678,3,0.48,"non-V6",1,1,"non-R6",2014-06-01
"44",12,2014,"July",45.0842,-122.7656,7.0010678,1,0.12,"non-V6",1,1,"non-R6",2014-07-01
"45",13,2014,"April",45.0823,-122.7666,4.249203,0,0,"non-V6",1,1,"non-R6",2014-04-01
"46",13,2014,"May",45.0823,-122.7666,4.249203,1,0,"non-V6",1,1,"non-R6",2014-05-01
"47",13,2014,"June",45.0823,-122.7666,4.249203,2,0.03,"non-V6",1,1,"non-R6",2014-06-01
"48",13,2014,"July",45.0823,-122.7666,4.249203,1,0.01,"non-V6",1,1,"non-R6",2014-07-01
"49",14,2014,"April",45.0839,-122.763,5.260918,0,0,"non-V6",1,1,"non-R6",2014-04-01
"50",14,2014,"May",45.0839,-122.763,5.260918,1,0,"non-V6",1,1,"non-R6",2014-05-01
"51",14,2014,"June",45.0839,-122.763,5.260918,2,0.36,"non-V6",1,1,"non-R6",2014-06-01
"52",14,2014,"July",45.0839,-122.763,5.260918,1,0.09,"non-V6",1,1,"non-R6",2014-07-01
"53",15,2014,"April",45.0805,-122.7666,11.0074592,0,0,"V6",1,1,"non-R6",2014-04-01
"54",15,2014,"May",45.0805,-122.7666,11.0074592,1,0.03,"V6",1,1,"non-R6",2014-05-01
"55",15,2014,"June",45.0805,-122.7666,11.0074592,2,0.04,"V6",1,1,"non-R6",2014-06-01
"56",15,2014,"July",45.0805,-122.7666,11.0074592,1,0.14,"V6",1,1,"non-R6",2014-07-01
"57",16,2014,"April",45.0405,-122.7794,5.867947,0,0,"non-V6",1,1,"non-R6",2014-04-01
"58",16,2014,"May",45.0405,-122.7794,5.867947,1,0,"non-V6",1,1,"non-R6",2014-05-01
"59",16,2014,"June",45.0405,-122.7794,5.867947,2,0,"non-V6",1,1,"non-R6",2014-06-01
"60",16,2014,"July",45.0405,-122.7794,5.867947,1,0,"non-V6",1,1,"non-R6",2014-07-01
"61",17,2014,"April",45.0389,-122.7739,11.533551,0,0,"non-V6",1,1,"non-R6",2014-04-01
"62",17,2014,"May",45.0389,-122.7739,11.533551,1,0,"non-V6",1,1,"non-R6",2014-05-01
"63",17,2014,"June",45.0389,-122.7739,11.533551,2,0.01,"non-V6",1,1,"non-R6",2014-06-01
"64",17,2014,"July",45.0389,-122.7739,11.533551,1,0.04,"non-V6",1,1,"non-R6",2014-07-01
"65",18,2014,"April",45.0375,-122.7815,6.1916958,0,0,"non-V6",1,1,"non-R6",2014-04-01
"66",18,2014,"May",45.0375,-122.7815,6.1916958,1,0,"non-V6",1,1,"non-R6",2014-05-01
"67",18,2014,"June",45.0375,-122.7815,6.1916958,2,0.02,"non-V6",1,1,"non-R6",2014-06-01
"68",18,2014,"July",45.0375,-122.7815,6.1916958,1,0.03,"non-V6",1,1,"non-R6",2014-07-01
"69",19,2014,"April",45.0799,-122.7262,7.8509084,0,0,"non-V6",1,1,"non-R6",2014-04-01
"70",19,2014,"May",45.0799,-122.7262,7.8509084,1,0,"non-V6",1,1,"non-R6",2014-05-01
"71",19,2014,"June",45.0799,-122.7262,7.8509084,2,0.01,"non-V6",1,1,"non-R6",2014-06-01
"72",19,2014,"July",45.0799,-122.7262,7.8509084,1,0.02,"non-V6",1,1,"non-R6",2014-07-01
"73",20,2014,"April",45.0826,-122.7274,6.9201306,0,0,"non-V6",1,1,"non-R6",2014-04-01
"74",20,2014,"May",45.0826,-122.7274,6.9201306,1,0,"non-V6",1,1,"non-R6",2014-05-01
"75",20,2014,"June",45.0826,-122.7274,6.9201306,2,0,"non-V6",1,1,"non-R6",2014-06-01
"76",20,2014,"July",45.0826,-122.7274,6.9201306,1,0.05,"non-V6",1,1,"non-R6",2014-07-01
"77",21,2014,"April",45.0799,-122.7239,3.8849856,0,0,"non-V6",1,1,"non-R6",2014-04-01
"78",21,2014,"May",45.0799,-122.7239,3.8849856,1,0.01,"non-V6",1,1,"non-R6",2014-05-01
"79",21,2014,"June",45.0799,-122.7239,3.8849856,2,0.02,"non-V6",1,1,"non-R6",2014-06-01
"80",21,2014,"July",45.0799,-122.7239,3.8849856,1,0.13,"non-V6",1,1,"non-R6",2014-07-01
"81",22,2014,"April",45.0412,-122.7729,3.7231112,0,0,"non-V6",1,1,"non-R6",2014-04-01
"82",22,2014,"May",45.0412,-122.7729,3.7231112,1,0,"non-V6",1,1,"non-R6",2014-05-01
"83",22,2014,"June",45.0412,-122.7729,3.7231112,2,0,"non-V6",1,1,"non-R6",2014-06-01
"84",22,2014,"July",45.0412,-122.7729,3.7231112,1,0,"non-V6",1,1,"non-R6",2014-07-01
"85",23,2014,"April",45.0376,-122.779,3.1160822,0,0,"non-V6",1,1,"non-R6",2014-04-01
"86",23,2014,"May",45.0376,-122.779,3.1160822,1,0.0075,"non-V6",1,1,"non-R6",2014-05-01
"87",23,2014,"June",45.0376,-122.779,3.1160822,2,0.11,"non-V6",1,1,"non-R6",2014-06-01
"88",23,2014,"July",45.0376,-122.779,3.1160822,1,0.12,"non-V6",1,1,"non-R6",2014-07-01
"89",25,2014,"April",45.088,-122.742,10.4408988,0,0.03,"non-V6",1,1,"non-R6",2014-04-01
"90",25,2014,"May",45.088,-122.742,10.4408988,1,0.38,"non-V6",1,1,"non-R6",2014-05-01
"91",25,2014,"June",45.088,-122.742,10.4408988,2,1,"non-V6",1,1,"non-R6",2014-06-01
"92",25,2014,"July",45.088,-122.742,10.4408988,1,0.99,"non-V6",1,1,"non-R6",2014-07-01
"93",26,2014,"April",45.0833,-122.7513,18.008527,0,0,"V6",1,0,"R6",2014-04-01
"94",26,2014,"May",45.0833,-122.7513,18.008527,3,0.01,"V6",1,0,"R6",2014-05-01
"95",26,2014,"June",45.0833,-122.7513,18.008527,1,0.08,"V6",1,0,"R6",2014-06-01
"96",26,2014,"July",45.0833,-122.7513,18.008527,1,0.09,"V6",1,0,"R6",2014-07-01
"97",27,2014,"April",45.0772,-122.7606,12.949952,0,0,"V6",1,0,"R6",2014-04-01
"98",27,2014,"May",45.0772,-122.7606,12.949952,2,0,"V6",1,0,"R6",2014-05-01
"99",27,2014,"June",45.0772,-122.7606,12.949952,2,0.12,"V6",1,0,"R6",2014-06-01
"100",27,2014,"July",45.0772,-122.7606,12.949952,2,0.42,"V6",1,0,"R6",2014-07-01
"101",28,2014,"April",45.0771,-122.7557,8.0127828,0,0,"V6",1,0,"R6",2014-04-01
"102",28,2014,"May",45.0771,-122.7557,8.0127828,2,0,"V6",1,0,"R6",2014-05-01
"103",28,2014,"June",45.0771,-122.7557,8.0127828,2,0.55,"V6",1,0,"R6",2014-06-01
"104",28,2014,"July",45.0771,-122.7557,8.0127828,2,0.82,"V6",1,0,"R6",2014-07-01
"105",29,2014,"April",45.08,-122.7407,12.7880776,0,0,"non-V6",1,1,"non-R6",2014-04-01
"106",29,2014,"May",45.08,-122.7407,12.7880776,1,0,"non-V6",1,1,"non-R6",2014-05-01
"107",29,2014,"June",45.08,-122.7407,12.7880776,1,0,"non-V6",1,1,"non-R6",2014-06-01
"108",29,2014,"July",45.08,-122.7407,12.7880776,1,0,"non-V6",1,1,"non-R6",2014-07-01
"109",30,2014,"April",45.0925,-122.7523,15.0947878,0,0,"V6",1,1,"non-R6",2014-04-01
"110",30,2014,"May",45.0925,-122.7523,15.0947878,1,0.12,"V6",1,1,"non-R6",2014-05-01
"111",30,2014,"June",45.0925,-122.7523,15.0947878,3,0.88,"V6",1,1,"non-R6",2014-06-01
"112",30,2014,"July",45.0925,-122.7523,15.0947878,1,0.39,"V6",1,1,"non-R6",2014-07-01
"113",31,2014,"April",45.0936,-122.7569,9.1459036,0,0.03,"V6",1,0,"R6",2014-04-01
"114",31,2014,"May",45.0936,-122.7569,9.1459036,1,0.07,"V6",1,0,"R6",2014-05-01
"115",31,2014,"June",45.0936,-122.7569,9.1459036,4,0.94,"V6",1,0,"R6",2014-06-01
"116",31,2014,"July",45.0936,-122.7569,9.1459036,3,0.71,"V6",1,0,"R6",2014-07-01
"117",32,2014,"April",45.0926,-122.7473,21.3269522,0,0,"V6",1,0,"R6",2014-04-01
"118",32,2014,"May",45.0926,-122.7473,21.3269522,2,0,"V6",1,0,"R6",2014-05-01
"119",32,2014,"June",45.0926,-122.7473,21.3269522,3,0.82,"V6",1,0,"R6",2014-06-01
"120",32,2014,"July",45.0926,-122.7473,21.3269522,2,0.36,"V6",1,0,"R6",2014-07-01
"121",33,2014,"April",45.0891,-122.7526,4.1682658,0,0,"V6",1,1,"non-R6",2014-04-01
"122",33,2014,"May",45.0891,-122.7526,4.1682658,4,0,"V6",1,1,"non-R6",2014-05-01
"123",33,2014,"June",45.0891,-122.7526,4.1682658,1,0.47,"V6",1,1,"non-R6",2014-06-01
"124",33,2014,"July",45.0891,-122.7526,4.1682658,4,0.14,"V6",1,1,"non-R6",2014-07-01
"125",34,2014,"April",45.0891,-122.7476,14.8115076,0,0,"V6",1,1,"non-R6",2014-04-01
"126",34,2014,"May",45.0891,-122.7476,14.8115076,2,0.06,"V6",1,1,"non-R6",2014-05-01
"127",34,2014,"June",45.0891,-122.7476,14.8115076,1,0.87,"V6",1,1,"non-R6",2014-06-01
"128",34,2014,"July",45.0891,-122.7476,14.8115076,1,1,"V6",1,1,"non-R6",2014-07-01
"129",35,2014,"April",45.1684,-122.8832,6.4345074,0,0,"V6",1,0,"R6",2014-04-01
"130",35,2014,"May",45.1684,-122.8832,6.4345074,1,0,"V6",1,0,"R6",2014-05-01
"131",35,2014,"June",45.1684,-122.8832,6.4345074,2,0,"V6",1,0,"R6",2014-06-01
"132",35,2014,"July",45.1684,-122.8832,6.4345074,1,0,"V6",1,0,"R6",2014-07-01
"133",36,2014,"April",45.2005,-122.9142,19.8700826,0,0,"V6",1,0,"R6",2014-04-01
"134",36,2014,"May",45.2005,-122.9142,19.8700826,1,0,"V6",1,0,"R6",2014-05-01
"135",36,2014,"June",45.2005,-122.9142,19.8700826,2,0,"V6",1,0,"R6",2014-06-01
"136",36,2014,"July",45.2005,-122.9142,19.8700826,1,0,"V6",1,0,"R6",2014-07-01
"137",37,2014,"April",45.1654,-122.8855,5.5441982,0,0,"V6",1,1,"non-R6",2014-04-01
"138",37,2014,"May",45.1654,-122.8855,5.5441982,1,0,"V6",1,1,"non-R6",2014-05-01
"139",37,2014,"June",45.1654,-122.8855,5.5441982,1,0,"V6",1,1,"non-R6",2014-06-01
"140",37,2014,"July",45.1654,-122.8855,5.5441982,1,0.01,"V6",1,1,"non-R6",2014-07-01
"141",38,2014,"April",45.1653,-122.8751,2.5495218,0,0,"non-V6",1,1,"non-R6",2014-04-01
"142",38,2014,"May",45.1653,-122.8751,2.5495218,1,0,"non-V6",1,1,"non-R6",2014-05-01
"143",38,2014,"June",45.1653,-122.8751,2.5495218,1,0,"non-V6",1,1,"non-R6",2014-06-01
"144",38,2014,"July",45.1653,-122.8751,2.5495218,0,0,"non-V6",1,1,"non-R6",2014-07-01
"145",39,2014,"April",45.1672,-122.8792,4.8967006,0,0,"non-V6",1,1,"non-R6",2014-04-01
"146",39,2014,"May",45.1672,-122.8792,4.8967006,1,0,"non-V6",1,1,"non-R6",2014-05-01
"147",39,2014,"June",45.1672,-122.8792,4.8967006,1,0,"non-V6",1,1,"non-R6",2014-06-01
"148",39,2014,"July",45.1672,-122.8792,4.8967006,0,0,"non-V6",1,1,"non-R6",2014-07-01
"149",41,2014,"April",45.1685,-122.9058,9.0649664,0,0,"V6",1,1,"non-R6",2014-04-01
"150",41,2014,"May",45.1685,-122.9058,9.0649664,0,0,"V6",1,1,"non-R6",2014-05-01
"151",41,2014,"June",45.1685,-122.9058,9.0649664,1,0.02,"V6",1,1,"non-R6",2014-06-01
"152",41,2014,"July",45.1685,-122.9058,9.0649664,1,0.02,"V6",1,1,"non-R6",2014-07-01
"153",42,2014,"April",45.1653,-122.8815,14.9329134,0,0,"V6",1,0,"R6",2014-04-01
"154",42,2014,"May",45.1653,-122.8815,14.9329134,1,0,"V6",1,0,"R6",2014-05-01
"155",42,2014,"June",45.1653,-122.8815,14.9329134,2,0,"V6",1,0,"R6",2014-06-01
"156",42,2014,"July",45.1653,-122.8815,14.9329134,0,0,"V6",1,0,"R6",2014-07-01
"157",43,2014,"April",45.1659,-122.8885,7.3652852,0,0,"non-V6",1,1,"non-R6",2014-04-01
"158",43,2014,"May",45.1659,-122.8885,7.3652852,1,0,"non-V6",1,1,"non-R6",2014-05-01
"159",43,2014,"June",45.1659,-122.8885,7.3652852,1,0,"non-V6",1,1,"non-R6",2014-06-01
"160",43,2014,"July",45.1659,-122.8885,7.3652852,1,0,"non-V6",1,1,"non-R6",2014-07-01
"161",44,2014,"April",45.1996,-122.8464,11.0479278,0,0,"non-V6",1,1,"non-R6",2014-04-01
"162",44,2014,"May",45.1996,-122.8464,11.0479278,1,0,"non-V6",1,1,"non-R6",2014-05-01
"163",44,2014,"June",45.1996,-122.8464,11.0479278,1,0,"non-V6",1,1,"non-R6",2014-06-01
"164",44,2014,"July",45.1996,-122.8464,11.0479278,1,0,"non-V6",1,1,"non-R6",2014-07-01
"165",45,2014,"April",45.2025,-122.8443,8.7816862,0,0,"non-V6",1,1,"non-R6",2014-04-01
"166",45,2014,"May",45.2025,-122.8443,8.7816862,1,0,"non-V6",1,1,"non-R6",2014-05-01
"167",45,2014,"June",45.2025,-122.8443,8.7816862,1,0,"non-V6",1,1,"non-R6",2014-06-01
"168",45,2014,"July",45.2025,-122.8443,8.7816862,0,0,"non-V6",1,1,"non-R6",2014-07-01
"169",46,2014,"April",45.1942,-122.7664,0.5260918,0,0,"V6",1,1,"non-R6",2014-04-01
"170",46,2014,"May",45.1942,-122.7664,0.5260918,2,0,"V6",1,1,"non-R6",2014-05-01
"171",46,2014,"June",45.1942,-122.7664,0.5260918,4,0,"V6",1,1,"non-R6",2014-06-01
"172",46,2014,"July",45.1942,-122.7664,0.5260918,0,0.01,"V6",1,1,"non-R6",2014-07-01
"173",47,2014,"April",45.19,-122.7621,3.439831,0,0,"non-V6",1,1,"non-R6",2014-04-01
"174",47,2014,"May",45.19,-122.7621,3.439831,2,0,"non-V6",1,1,"non-R6",2014-05-01
"175",47,2014,"June",45.19,-122.7621,3.439831,5,0,"non-V6",1,1,"non-R6",2014-06-01
"176",47,2014,"July",45.19,-122.7621,3.439831,0,0,"non-V6",1,1,"non-R6",2014-07-01
"177",48,2014,"April",45.1928,-122.766,8.296063,0,0,"non-V6",1,1,"non-R6",2014-04-01
"178",48,2014,"May",45.1928,-122.766,8.296063,0,0,"non-V6",1,1,"non-R6",2014-05-01
"179",48,2014,"June",45.1928,-122.766,8.296063,1,0,"non-V6",1,1,"non-R6",2014-06-01
"180",48,2014,"July",45.1928,-122.766,8.296063,0,0,"non-V6",1,1,"non-R6",2014-07-01
"181",50,2014,"April",45.1932,-122.7715,7.2034108,0,0,"non-V6",1,1,"non-R6",2014-04-01
"182",50,2014,"May",45.1932,-122.7715,7.2034108,1,0,"non-V6",1,1,"non-R6",2014-05-01
"183",50,2014,"June",45.1932,-122.7715,7.2034108,1,0,"non-V6",1,1,"non-R6",2014-06-01
"184",50,2014,"July",45.1932,-122.7715,7.2034108,1,0,"non-V6",1,1,"non-R6",2014-07-01
"185",51,2014,"April",45.1909,-122.7707,7.2438794,0,0,"V6",1,1,"non-R6",2014-04-01
"186",51,2014,"May",45.1909,-122.7707,7.2438794,1,0,"V6",1,1,"non-R6",2014-05-01
"187",51,2014,"June",45.1909,-122.7707,7.2438794,2,0.01,"V6",1,1,"non-R6",2014-06-01
"188",51,2014,"July",45.1909,-122.7707,7.2438794,0,0,"V6",1,1,"non-R6",2014-07-01
"189",52,2014,"April",45.201,-122.7725,3.1565508,0,0,"V6",1,0,"R6",2014-04-01
"190",52,2014,"May",45.201,-122.7725,3.1565508,1,0,"V6",1,0,"R6",2014-05-01
"191",52,2014,"June",45.201,-122.7725,3.1565508,5,0.14,"V6",1,0,"R6",2014-06-01
"192",52,2014,"July",45.201,-122.7725,3.1565508,0,0.16,"V6",1,0,"R6",2014-07-01
"193",53,2014,"April",45.1994,-122.774,6.7582562,0,0,"V6",1,0,"R6",2014-04-01
"194",53,2014,"May",45.1994,-122.774,6.7582562,1,0,"V6",1,0,"R6",2014-05-01
"195",53,2014,"June",45.1994,-122.774,6.7582562,5,0.08,"V6",1,0,"R6",2014-06-01
"196",53,2014,"July",45.1994,-122.774,6.7582562,0,0.25,"V6",1,0,"R6",2014-07-01
"197",54,2014,"April",45.189,-122.7707,7.7295026,0,0,"V6",1,0,"R6",2014-04-01
"198",54,2014,"May",45.189,-122.7707,7.7295026,1,0,"V6",1,0,"R6",2014-05-01
"199",54,2014,"June",45.189,-122.7707,7.7295026,5,0.07,"V6",1,0,"R6",2014-06-01
"200",54,2014,"July",45.189,-122.7707,7.7295026,0,0.4,"V6",1,0,"R6",2014-07-01
"201",55,2014,"April",45.1978,-122.7726,2.9946764,0,0,"V6",1,0,"R6",2014-04-01
"202",55,2014,"May",45.1978,-122.7726,2.9946764,1,0,"V6",1,0,"R6",2014-05-01
"203",55,2014,"June",45.1978,-122.7726,2.9946764,5,0.1,"V6",1,0,"R6",2014-06-01
"204",55,2014,"July",45.1978,-122.7726,2.9946764,0,0,"V6",1,0,"R6",2014-07-01
"205",56,2014,"April",45.1173,-122.8455,2.428116,0,0,"V6",1,0,"R6",2014-04-01
"206",56,2014,"May",45.1173,-122.8455,2.428116,0,0,"V6",1,0,"R6",2014-05-01
"207",56,2014,"June",45.1173,-122.8455,2.428116,1,0,"V6",1,0,"R6",2014-06-01
"208",56,2014,"July",45.1173,-122.8455,2.428116,2,0.43,"V6",1,0,"R6",2014-07-01
"209",57,2014,"April",45.1174,-122.8464,2.428116,0,0,"V6",1,0,"R6",2014-04-01
"210",57,2014,"May",45.1174,-122.8464,2.428116,0,0,"V6",1,0,"R6",2014-05-01
"211",57,2014,"June",45.1174,-122.8464,2.428116,1,0,"V6",1,0,"R6",2014-06-01
"212",57,2014,"July",45.1174,-122.8464,2.428116,2,0.01,"V6",1,0,"R6",2014-07-01
"213",58,2014,"April",45.1173,-122.845,0.404686,0,0,"V6",1,1,"non-R6",2014-04-01
"214",58,2014,"May",45.1173,-122.845,0.404686,0,0,"V6",1,1,"non-R6",2014-05-01
"215",58,2014,"June",45.1173,-122.845,0.404686,1,0,"V6",1,1,"non-R6",2014-06-01
"216",58,2014,"July",45.1173,-122.845,0.404686,2,0.19,"V6",1,1,"non-R6",2014-07-01
"217",59,2014,"April",45.1177,-122.8433,8.4174688,0,0,"V6",1,0,"R6",2014-04-01
"218",59,2014,"May",45.1177,-122.8433,8.4174688,0,0,"V6",1,0,"R6",2014-05-01
"219",59,2014,"June",45.1177,-122.8433,8.4174688,1,0.03,"V6",1,0,"R6",2014-06-01
"220",59,2014,"July",45.1177,-122.8433,8.4174688,2,0.43,"V6",1,0,"R6",2014-07-01
"221",60,2014,"April",45.1179,-122.8399,16.389783,0,0,"V6",1,1,"non-R6",2014-04-01
"222",60,2014,"May",45.1179,-122.8399,16.389783,0,0,"V6",1,1,"non-R6",2014-05-01
"223",60,2014,"June",45.1179,-122.8399,16.389783,1,0,"V6",1,1,"non-R6",2014-06-01
"224",60,2014,"July",45.1179,-122.8399,16.389783,1,0.02,"V6",1,1,"non-R6",2014-07-01
"225",61,2014,"April",45.1177,-122.8353,16.0255656,0,0,"V6",1,0,"R6",2014-04-01
"226",61,2014,"May",45.1177,-122.8353,16.0255656,0,0,"V6",1,0,"R6",2014-05-01
"227",61,2014,"June",45.1177,-122.8353,16.0255656,1,0.06,"V6",1,0,"R6",2014-06-01
"228",61,2014,"July",45.1177,-122.8353,16.0255656,1,0.18,"V6",1,0,"R6",2014-07-01
"229",62,2014,"April",45.1177,-122.8307,15.6208796,0,0,"non-V6",1,1,"non-R6",2014-04-01
"230",62,2014,"May",45.1177,-122.8307,15.6208796,0,0,"non-V6",1,1,"non-R6",2014-05-01
"231",62,2014,"June",45.1177,-122.8307,15.6208796,1,0,"non-V6",1,1,"non-R6",2014-06-01
"232",62,2014,"July",45.1177,-122.8307,15.6208796,1,0,"non-V6",1,1,"non-R6",2014-07-01
"233",63,2014,"April",45.1176,-122.8266,12.0596428,0,0,"V6",1,0,"R6",2014-04-01
"234",63,2014,"May",45.1176,-122.8266,12.0596428,0,0,"V6",1,0,"R6",2014-05-01
"235",63,2014,"June",45.1176,-122.8266,12.0596428,1,0.02,"V6",1,0,"R6",2014-06-01
"236",63,2014,"July",45.1176,-122.8266,12.0596428,0,0.01,"V6",1,0,"R6",2014-07-01
"237",64,2014,"April",45.1137,-122.83,10.1576186,0,0,"non-V6",1,1,"non-R6",2014-04-01
"238",64,2014,"May",45.1137,-122.83,10.1576186,0,0,"non-V6",1,1,"non-R6",2014-05-01
"239",64,2014,"June",45.1137,-122.83,10.1576186,1,0,"non-V6",1,1,"non-R6",2014-06-01
"240",64,2014,"July",45.1137,-122.83,10.1576186,1,0,"non-V6",1,1,"non-R6",2014-07-01
"241",65,2014,"April",45.1144,-122.8564,10.4004302,0,0,"non-V6",1,1,"non-R6",2014-04-01
"242",65,2014,"May",45.1144,-122.8564,10.4004302,0,0,"non-V6",1,1,"non-R6",2014-05-01
"243",65,2014,"June",45.1144,-122.8564,10.4004302,1,0,"non-V6",1,1,"non-R6",2014-06-01
"244",65,2014,"July",45.1144,-122.8564,10.4004302,1,0,"non-V6",1,1,"non-R6",2014-07-01
"245",66,2014,"April",45.1126,-122.8533,8.4174688,0,0,"non-V6",1,1,"non-R6",2014-04-01
"246",66,2014,"May",45.1126,-122.8533,8.4174688,0,0,"non-V6",1,1,"non-R6",2014-05-01
"247",66,2014,"June",45.1126,-122.8533,8.4174688,1,0,"non-V6",1,1,"non-R6",2014-06-01
"248",66,2014,"July",45.1126,-122.8533,8.4174688,1,0,"non-V6",1,1,"non-R6",2014-07-01
"249",67,2014,"April",45.0342,-122.7408,4.0873286,0,0,"V6",1,1,"non-R6",2014-04-01
"250",67,2014,"May",45.0342,-122.7408,4.0873286,0,0,"V6",1,1,"non-R6",2014-05-01
"251",67,2014,"June",45.0342,-122.7408,4.0873286,3,0,"V6",1,1,"non-R6",2014-06-01
"252",67,2014,"July",45.0342,-122.7408,4.0873286,3,0.01,"V6",1,1,"non-R6",2014-07-01
"253",68,2014,"April",45.0337,-122.7402,3.5612368,0,0,"non-V6",1,1,"non-R6",2014-04-01
"254",68,2014,"May",45.0337,-122.7402,3.5612368,0,0,"non-V6",1,1,"non-R6",2014-05-01
"255",68,2014,"June",45.0337,-122.7402,3.5612368,3,0,"non-V6",1,1,"non-R6",2014-06-01
"256",68,2014,"July",45.0337,-122.7402,3.5612368,2,0,"non-V6",1,1,"non-R6",2014-07-01
